URI,rdf:type,rdfs:label,rico:title,rico:hasContentOfType,rico:isRecordResourceAssociatedWithRecordResource,ecrm:P62_depicts,rdfs:comment,rdfs:seeAlso,rico:hasInstantiation,vocab:ArchivalReferenceCode,vocab:InventoryNumber
<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,rico:Record,"""Plan d’expropriation, secteur de Radio-Canada""@fr","""Plan d’expropriation, secteur de Radio-Canada""@fr",vocab:CartographicImage,,,"""Carte index fournie en pièce jointe du dossier D0196 : les numéros inscrits sur ce plan d’expropriation correspondent aux numéros d’inventaires apparaissant sur les photographies.""@fr",<https://archivesdemontreal.com/2013/10/15/les-quartiers-disparus-de-montreal-le-secteur-de-la-societe-radio-canada-faubourg-a-mlasse-9-juillet-1963>,,"""VM001-4-2_0806-1-1-P""",
<http://data.qdmtl.ca/record/VM094-C196-0001>,rico:Record,"""VM094-C196-0001""","""VM094-C196-0001""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,,,,"""VM094-C196-0001""","""11"""
<http://data.qdmtl.ca/record/VM094-C196-0002>,rico:Record,"""VM094-C196-0002""","""VM094-C196-0002""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,,,,"""VM094-C196-0002""","""11"""
<http://data.qdmtl.ca/record/VM094-C196-0003>,rico:Record,"""VM094-C196-0003""","""VM094-C196-0003""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,,,,"""VM094-C196-0003""","""11"""
<http://data.qdmtl.ca/record/VM094-C196-0004>,rico:Record,"""VM094-C196-0004""","""VM094-C196-0004""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,,,,"""VM094-C196-0004""","""11"""
<http://data.qdmtl.ca/record/VM094-C196-0005>,rico:Record,"""VM094-C196-0005""","""VM094-C196-0005""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,,,,"""VM094-C196-0005""","""13"""
<http://data.qdmtl.ca/record/VM094-C196-0006>,rico:Record,"""VM094-C196-0006""","""VM094-C196-0006""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,,,,"""VM094-C196-0006""","""13"""
<http://data.qdmtl.ca/record/VM094-C196-0007>,rico:Record,"""VM094-C196-0007""","""VM094-C196-0007""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,,,,"""VM094-C196-0007""","""13"""
<http://data.qdmtl.ca/record/VM094-C196-0900>,rico:Record,"""VM094-C196-0900""","""VM094-C196-0900""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,"""St-Vincent de Paul Asylum (Asile Saint-Vincent-de-Paul)""",,,,
<http://data.qdmtl.ca/record/VM094-C196-0901>,rico:Record,"""VM094-C196-0901""","""VM094-C196-0901""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,"""St-Vincent de Paul Asylum (Asile Saint-Vincent-de-Paul)""",,,,
<http://data.qdmtl.ca/record/VM094-C196-0902>,rico:Record,"""VM094-C196-0902""","""VM094-C196-0902""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,"""St-Vincent de Paul Asylum (Asile Saint-Vincent-de-Paul)""",,,,
<http://data.qdmtl.ca/record/VM094-C196-0903>,rico:Record,"""VM094-C196-0903""","""VM094-C196-0903""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,"""St-Vincent de Paul Asylum (Asile Saint-Vincent-de-Paul)""",,,,
<http://data.qdmtl.ca/record/VM094-C196-0928>,rico:Record,"""VM094-C196-0928""","""VM094-C196-0928""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,"""St-Vincent de Paul Asylum (Asile Saint-Vincent-de-Paul)""",,,,
<http://data.qdmtl.ca/record/VM094-C196-0929>,rico:Record,"""VM094-C196-0929""","""VM094-C196-0929""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,"""St-Vincent de Paul Asylum (Asile Saint-Vincent-de-Paul)""",,,,
<http://data.qdmtl.ca/record/VM094-C196-0930>,rico:Record,"""VM094-C196-0930""","""VM094-C196-0930""",vocab:PhotographicImage,<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,,"""St-Vincent de Paul Asylum (Asile Saint-Vincent-de-Paul)""",,,,
